visitor_id,Paths_journey
00ACoBn3nCoD3iBh0fCB0Ci3D,Start > Youtube > NULL
00ADnBD9B979fE0fnoB9CA0E9,Start > Youtube > Conversion
00ADokf7DiCADoC9n0DBCiDBD,Start > Facebook > Instagram > NULL
00Af379h79CF3C3n7A0EAkF70,Start > TikTok > Conversion
00AffF0BA90fiFnEEEofFiohi,Start > Instagram > NULL
00Afh07Cih0FhiF7k9nCBD3Ak,Start > Facebook > NULL
00Afi7non3F97AiD9okCEDEh7,Start > Youtube > Conversion
00Afk33i7oiDohFEBDfCon7F9,Start > Instagram > NULL
00Ah9A7EFE393iB7kA9fEfiEF,Start > Youtube > NULL
00AhBDFkChE9f30AffCBEAkhi,Start > Facebook > NULL
00AhC9inh7iFACoEED7on09EC,Start > Facebook > NULL
00AhDnDD0FAiFCh7BhCEhoh0A,Start > Youtube > Facebook > TikTok > Conversion
00Ai3f3Ch3D9B9nnfDiEC0fA7,Start > TikTok > Facebook > Youtube > Instagram > Conversion
00AiBfhk3ACChBhhfiBh9BC9C,Start > Youtube > NULL
00AikFCoACkFBEEBo7ki3FFEA,Start > Youtube > NULL
00AkoAFhinoDo73Bh7nAD9iBD,Start > Youtube > NULL
00AnAhEEFFDk03hBiDi7BifEn,Start > Youtube > NULL
00AnBn09fnEDiBkh9FE07ABnE,Start > Youtube > NULL
00Ao009ADkAAhoohn9oCiAfA0,Start > Instagram > Facebook > Conversion
00Ao0EkBEkinBf9F3B9BkoCCo,Start > Youtube > NULL
00Ao3FoEf9iC7hn9CEnk0hoEk,Start > Youtube > NULL
00AoDE9oBDDk99ED30D77BhAi,Start > Instagram > NULL
00AoFBnfAinAiiff9BAoEE793,Start > Youtube > Facebook > NULL
00AoFo0f9FiDi9ChfABD0FC0C,Start > Youtube > NULL
00AoiECk9ofF9fC907on793n7,Start > Facebook > Conversion
00B00Df7o7kknDBCFB0h9EC0A,Start > Youtube > Facebook > NULL
00B09BfCnB9Ck3fB9739FnDk7,Start > Facebook > NULL
00B09nB979hA7BD9f0FB379Do,Start > Instagram > Facebook > NULL
00B0BoADACf7Foh7339kBhiDC,Start > Youtube > Conversion
00B39Ahokk7oDAk3iFFhBnD0h,Start > Facebook > NULL
00B3B0hkoiBfCkF7o7B09ffCC,Start > Youtube > NULL
00B3iEkf7FC09h30h7iknf3iB,Start > Youtube > NULL
00B709h07iEfFA7iF0fAo9nFB,Start > Facebook > NULL
00B7AF9nCnFnihAFABDfDfFC3,Start > Instagram > NULL
00B7BBiiF00A0Fi0oDh0Chii9,Start > Facebook > Youtube > NULL
00B7CDDED0A0Cnk39ofAn09kD,Start > Youtube > NULL
00B7EC7C9khA3hB3o7F9h3AFB,Start > Youtube > NULL
00B7fFhfnnAhkCoE0DAf9nDoA,Start > Instagram > NULL
00B7nBofiDBF03kFEBnkhEDoo,Start > Facebook > Youtube > Conversion
00B97nhAEB079iB9hoECF7iAB,Start > Youtube > NULL
00B9AAkBnC03oihnoEnCC90Cn,Start > Youtube > NULL
00B9BAEfk0ffnAFfC0Bn03nok,Start > Youtube > Facebook > NULL
00B9FDfiE0f973iA3EA9o3FFi,Start > Youtube > NULL
00B9iDEhEni3DEi0D3foD3oAk,Start > Youtube > NULL
00BA0oADi7EC7EAFFBBhFAnhk,Start > Youtube > Conversion
00BA3kABAFFF3Bi3i3Aoh7k7f,Start > Youtube > NULL
00BA9F9konifhFnhDf70k0iE3,Start > Facebook > NULL
00BADi9fFACookAEAE0o0kC39,Start > Facebook > NULL
00BAhkDBB090nAEEfCfCAhEih,Start > Youtube > Instagram > NULL
00BB7D9AE3oof9oBFA9Ah0kBE,Start > Facebook > NULL
00BB93CAEFiAE7koDFA0DFD9i,Start > Youtube > Conversion
00BC3nDikB00iAo07hBB9Dk9k,Start > Facebook > NULL
00BC7777BBBE77BBCBkD930Ek,Start > Facebook > NULL
00BC7kCfADhBfCf7BioAfFDfi,Start > Facebook > Instagram > Youtube > Conversion
00BCC0Co9fk3ni0CC09AE3i3E,Start > Facebook > Instagram > Conversion
00BCfAD3EiAfFFEnhoCBnn3ff,Start > Youtube > NULL
00BCiBnhfk7A7AC03A9kEC0f9,Start > Youtube > Facebook > NULL
00BDDFkhfBfBfhoC0FDnC0n0f,Start > Facebook > NULL
00BDECFnoonoh099oo0CfB0hn,Start > Instagram > NULL
00BDFi9hi3CnfhFni9nCCnhEf,Start > Youtube > NULL
00BEC33FAhoFBAfBAFE7hfkiE,Start > Youtube > NULL
00BEhnAn33E0CC37ifEE9Fi9C,Start > Facebook > NULL
00BEkf90EDo30FEohCh937iB3,Start > Youtube > Conversion
00BEo00h9ABDDAFEE9F7knEho,Start > Youtube > Conversion
00BF0E037n9foCCDEoEhifA30,Start > Youtube > Conversion
00BFEhDh3n9FBifhfh3ACCEDA,Start > Youtube > NULL
00BFfE90EkEEf073CAfBkfDoF,Start > Facebook > Youtube > Conversion
00Bf0BoEiBEkn3i0oEC0Dik9E,Start > Facebook > Conversion
00BfC0fEhCCiAFAA9AkDC3F90,Start > Facebook > NULL
00BfDCFFnik7nBiE9ADfFiAo9,Start > Instagram > NULL
